,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine_in_cc,Seats,Make,Model
0,Jeep Compass 2.0 Longitude Option BSIV,1002999,86226,Diesel,Manual,1st Owner,2017,1956,5 Seats,Jeep,Compass 2.0 Longitude Option BSIV
1,Renault Duster RXZ Turbo CVT,1283000,13248,Petrol,Automatic,1st Owner,2021,1330,5 Seats,Renault,Duster RXZ Turbo CVT
2,Toyota Camry 2.5 G,1639999,60343,Petrol,Automatic,1st Owner,2016,2494,5 Seats,Toyota,Camry 2.5 G
3,Honda Jazz VX CVT,777000,26696,Petrol,Automatic,1st Owner,2018,1199,5 Seats,Honda,Jazz VX CVT
4,Volkswagen Polo 1.2 MPI Highline,515000,69414,Petrol,Manual,1st Owner,2016,1199,5 Seats,Volkswagen,Polo 1.2 MPI Highline
5,Volkswagen Vento 1.2 TSI Highline AT,766000,49719,Petrol,Automatic,1st Owner,2017,1197,5 Seats,Volkswagen,Vento 1.2 TSI Highline AT
6,Volkswagen Vento 1.2 TSI Highline Plus AT,758000,43688,Petrol,Automatic,1st Owner,2017,1197,5 Seats,Volkswagen,Vento 1.2 TSI Highline Plus AT
7,Honda WR-V VX Diesel,1160000,14470,Diesel,Manual,1st Owner,2021,1498,5 Seats,Honda,WR-V VX Diesel
8,Honda City i VTEC CVT SV,699000,21429,Petrol,Automatic,1st Owner,2015,1497,5 Seats,Honda,City i VTEC CVT SV
9,Renault Duster Petrol RXS CVT,753000,31750,Petrol,Automatic,1st Owner,2017,1498,5 Seats,Renault,Duster Petrol RXS CVT
10,Maruti Baleno 1.2 Alpha,643000,38203,Petrol,Manual,1st Owner,2017,1197,5 Seats,Maruti,Baleno 1.2 Alpha
11,Honda City i VTEC CVT SV,543000,110284,Petrol,Automatic,1st Owner,2014,1497,5 Seats,Honda,City i VTEC CVT SV
12,Mahindra XUV300 W6,861999,10381,Petrol,Manual,1st Owner,2020,1197,5 Seats,Mahindra,XUV300 W6
13,Jeep Compass 1.4 Limited Plus BSIV,1678000,32378,Petrol,Automatic,1st Owner,2019,1368,5 Seats,Jeep,Compass 1.4 Limited Plus BSIV
14,Honda City V MT,1002999,38906,Petrol,Manual,1st Owner,2020,1498,5 Seats,Honda,City V MT
15,Hyundai Grand i10 AT Asta,563000,59313,Petrol,Automatic,2nd Owner,2016,1197,5 Seats,Hyundai,Grand i10 AT Asta
16,Hyundai i20 1.4 Asta,667000,85672,Diesel,Manual,1st Owner,2017,1396,5 Seats,Hyundai,i20 1.4 Asta
17,Maruti Ciaz 1.4 Delta,673000,34971,Petrol,Manual,2nd Owner,2017,1373,5 Seats,Maruti,Ciaz 1.4 Delta
18,Nissan Micra XL Optional,321000,35894,Petrol,Manual,2nd Owner,2015,1198,5 Seats,Nissan,Micra XL Optional
19,Maruti Ciaz Alpha Automatic BSIV,850000,56000,Petrol,Automatic,1st Owner,2019,1462,5 Seats,Maruti,Ciaz Alpha Automatic BSIV
20,Maruti Swift Dzire VXI,434000,56568,Petrol,Manual,1st Owner,2014,1197,5 Seats,Maruti,Swift Dzire VXI
21,Renault KWID RXT,311000,48872,Petrol,Manual,1st Owner,2017,799,5 Seats,Renault,KWID RXT
22,Renault KWID RXL BSIV,370000,17346,Petrol,Manual,1st Owner,2019,799,5 Seats,Renault,KWID RXL BSIV
23,Jeep Compass 2.0 Limited Plus BSIV,1588000,15414,Diesel,Manual,1st Owner,2019,1956,5 Seats,Jeep,Compass 2.0 Limited Plus BSIV
24,Hyundai Grand i10 1.2 Kappa Magna BSIV,541000,21239,Petrol,Manual,1st Owner,2018,1197,5 Seats,Hyundai,Grand i10 1.2 Kappa Magna BSIV
25,Maruti Alto K10 LXI,223000,62361,Petrol,Manual,1st Owner,2014,998,5 Seats,Maruti,Alto K10 LXI
26,Hyundai Verna 1.6 VTVT S Option,588000,79329,Petrol,Manual,2nd Owner,2015,1591,5 Seats,Hyundai,Verna 1.6 VTVT S Option
27,Hyundai Tucson GLS AT,2278000,11945,Petrol,Automatic,1st Owner,2021,1999,5 Seats,Hyundai,Tucson GLS AT
28,Maruti Swift Dzire VXI 1.2,612000,51324,Petrol,Manual,1st Owner,2018,1197,5 Seats,Maruti,Swift Dzire VXI 1.2
29,Nissan Magnite XV Premium,744000,5717,Petrol,Manual,1st Owner,2021,999,5 Seats,Nissan,Magnite XV Premium
30,Honda City i VTEC CVT VX,839000,46417,Petrol,Automatic,1st Owner,2016,1497,5 Seats,Honda,City i VTEC CVT VX
31,Honda Amaze S i-Vtech,420000,100161,Petrol,Manual,1st Owner,2015,1198,5 Seats,Honda,Amaze S i-Vtech
32,Hyundai Grand i10 Sportz,491000,35424,Petrol,Manual,1st Owner,2016,1197,5 Seats,Hyundai,Grand i10 Sportz
33,Hyundai EON Era Plus,293000,51085,Petrol,Manual,1st Owner,2017,814,5 Seats,Hyundai,EON Era Plus
34,Maruti Alto 800 LXI,298000,30983,Petrol,Manual,1st Owner,2016,796,5 Seats,Maruti,Alto 800 LXI
35,Renault KWID RXL,260000,32681,Petrol,Manual,1st Owner,2016,799,5 Seats,Renault,KWID RXL
36,Hyundai EON Magna Plus,238000,57581,Petrol,Manual,2nd Owner,2014,814,5 Seats,Hyundai,EON Magna Plus
37,Honda Jazz 1.2 V AT i VTEC,605000,39821,Petrol,Automatic,1st Owner,2016,1199,5 Seats,Honda,Jazz 1.2 V AT i VTEC
38,Maruti Alto 800 LXI,323000,21186,Petrol,Manual,1st Owner,2018,796,5 Seats,Maruti,Alto 800 LXI
39,Renault KWID RXL,326000,34972,Petrol,Manual,1st Owner,2018,799,5 Seats,Renault,KWID RXL
40,Honda Amaze S i-Vtech,421000,46623,Petrol,Manual,2nd Owner,2015,1198,5 Seats,Honda,Amaze S i-Vtech
41,Kia Seltos GTX Plus,1553000,18557,Petrol,Manual,1st Owner,2019,1353,5 Seats,Kia,Seltos GTX Plus
42,Jeep Compass 2.0 Limited,1243000,58463,Diesel,Manual,1st Owner,2017,1956,5 Seats,Jeep,Compass 2.0 Limited
43,MG Hector Plus Sharp DCT,1850000,5000,Petrol,Automatic,1st Owner,2020,1451,6 Seats,MG,Hector Plus Sharp DCT
44,Tata Harrier XZ BSIV,1590000,66000,Diesel,Manual,1st Owner,2019,1956,5 Seats,Tata,Harrier XZ BSIV
45,Renault Duster Petrol RXS CVT,890000,14000,Petrol,Automatic,1st Owner,2019,1498,5 Seats,Renault,Duster Petrol RXS CVT
46,BMW 5 Series 520d Luxury Line,4300000,61000,Diesel,Automatic,1st Owner,2019,1995,5 Seats,BMW,5 Series 520d Luxury Line
47,Hyundai i20 1.4 Magna Executive,600000,65392,Diesel,Manual,1st Owner,2017,1396,5 Seats,Hyundai,i20 1.4 Magna Executive
48,Mercedes-Benz CLA 200 CGI Sport,2700000,37000,Petrol,Automatic,1st Owner,2018,1991,5 Seats,Mercedes-Benz,CLA 200 CGI Sport
49,Maruti XL6 Zeta,1090000,9000,Petrol,Manual,1st Owner,2020,1462,6 Seats,Maruti,XL6 Zeta
50,Hyundai Grand i10 1.2 Kappa Sportz Option AT,590000,32000,Petrol,Automatic,1st Owner,2017,1197,5 Seats,Hyundai,Grand i10 1.2 Kappa Sportz Option AT
51,Mahindra XUV500 W8 2WD,650000,68000,Diesel,Manual,1st Owner,2012,2179,7 Seats,Mahindra,XUV500 W8 2WD
52,Hyundai i20 Magna 1.2,675000,13000,Petrol,Manual,1st Owner,2017,1197,5 Seats,Hyundai,i20 Magna 1.2
53,Datsun RediGO AMT 1.0 T Option,370000,30000,Petrol,Automatic,1st Owner,2020,999,5 Seats,Datsun,RediGO AMT 1.0 T Option
54,Honda Brio VX AT,525000,34300,Petrol,Automatic,1st Owner,2015,1198,5 Seats,Honda,Brio VX AT
55,Honda City i VTEC CVT SV,725000,45000,Petrol,Automatic,1st Owner,2015,1497,5 Seats,Honda,City i VTEC CVT SV
56,Toyota Corolla Altis GL MT,850000,37000,Petrol,Manual,1st Owner,2014,1798,5 Seats,Toyota,Corolla Altis GL MT
57,Jeep Compass 1.4 Sport,1400000,50000,Petrol,Manual,1st Owner,2018,1368,5 Seats,Jeep,Compass 1.4 Sport
58,Volvo XC60 D4 Summum,1500000,105241,Diesel,Automatic,1st Owner,2015,1985,5 Seats,Volvo,XC60 D4 Summum
59,Toyota Corolla Altis 1.8 G,1390000,54000,Petrol,Manual,1st Owner,2019,1798,5 Seats,Toyota,Corolla Altis 1.8 G
60,Hyundai Verna VTVT 1.6 SX,890000,19600,Petrol,Manual,1st Owner,2019,1591,5 Seats,Hyundai,Verna VTVT 1.6 SX
61,Audi A4 2.0 TDI Technology Edition,1689999,48000,Diesel,Automatic,1st Owner,2015,1968,5 Seats,Audi,A4 2.0 TDI Technology Edition
62,Audi Q3 2.0 TDI,1390000,69500,Diesel,Automatic,1st Owner,2012,1968,5 Seats,Audi,Q3 2.0 TDI
63,BMW 5 Series 530d,1500000,71000,Diesel,Automatic,2nd Owner,2012,2993,5 Seats,BMW,5 Series 530d
64,Porsche Cayenne S Diesel,4500000,48894,Diesel,Automatic,1st Owner,2014,4134,5 Seats,Porsche,Cayenne S Diesel
65,Maruti A-Star Zxi,153000,46257,Petrol,Manual,3rd Owner,2008,998,5 Seats,Maruti,A-Star Zxi
66,Ford Ecosport 1.5 DV5 MT Titanium,509000,78264,Diesel,Manual,2nd Owner,2015,1498,5 Seats,Ford,Ecosport 1.5 DV5 MT Titanium
67,Honda Jazz 1.2 S AT i VTEC,546000,42451,Petrol,Automatic,1st Owner,2016,1199,5 Seats,Honda,Jazz 1.2 S AT i VTEC
68,Volkswagen Vento Diesel Highline,273000,131861,Diesel,Manual,2nd Owner,2012,1598,5 Seats,Volkswagen,Vento Diesel Highline
69,Maruti Wagon R VXI BS IV,180000,128004,Petrol,Manual,2nd Owner,2012,998,5 Seats,Maruti,Wagon R VXI BS IV
70,Chevrolet Beat Diesel PS,110000,150349,Diesel,Manual,1st Owner,2012,936,5 Seats,Chevrolet,Beat Diesel PS
71,Maruti Wagon R VXI BS IV,369000,29033,Petrol,Manual,1st Owner,2017,998,5 Seats,Maruti,Wagon R VXI BS IV
72,BMW 3 Series 320d Luxury Line,1350000,99000,Diesel,Automatic,1st Owner,2015,1995,5 Seats,BMW,3 Series 320d Luxury Line
73,Renault KWID RXL,275000,47000,Petrol,Manual,1st Owner,2018,799,5 Seats,Renault,KWID RXL
74,Maruti Baleno 1.3 Sigma,550000,35000,Diesel,Manual,1st Owner,2018,1248,5 Seats,Maruti,Baleno 1.3 Sigma
75,Mercedes-Benz C-Class C 220 CDI BE COR,975000,58000,Diesel,Automatic,1st Owner,2013,2143,5 Seats,Mercedes-Benz,C-Class C 220 CDI BE COR
76,Honda City S,400000,48000,Petrol,Manual,1st Owner,2012,1497,5 Seats,Honda,City S
77,Honda Amaze VX AT i-Vtech,475000,45000,Petrol,Automatic,1st Owner,2014,1198,5 Seats,Honda,Amaze VX AT i-Vtech
78,Hyundai EON D Lite,190000,60000,Petrol,Manual,2nd Owner,2012,814,5 Seats,Hyundai,EON D Lite
79,Hyundai i20 Magna Optional 1.2,465000,23000,Petrol,Manual,1st Owner,2014,1197,5 Seats,Hyundai,i20 Magna Optional 1.2
80,Hyundai Grand i10 1.2 Kappa Era,459999,45000,Petrol,Manual,1st Owner,2019,1197,5 Seats,Hyundai,Grand i10 1.2 Kappa Era
81,Hyundai i10 Magna 1.1L,325000,45000,Petrol,Manual,1st Owner,2014,1086,5 Seats,Hyundai,i10 Magna 1.1L
82,Maruti Ertiga VDI,525000,58000,Diesel,Manual,1st Owner,2013,1248,7 Seats,Maruti,Ertiga VDI
83,Hyundai i20 1.2 Spotz,625000,48000,Petrol,Manual,1st Owner,2018,1197,5 Seats,Hyundai,i20 1.2 Spotz
84,BMW 2 Series 220i M Sport,4000000,18000,Petrol,Automatic,1st Owner,2021,1998,5 Seats,BMW,2 Series 220i M Sport
85,Skoda Kushaq 1.0 TSI Style 6 Airbags AT,1675000,16000,Petrol,Automatic,1st Owner,2022,999,5 Seats,Skoda,Kushaq 1.0 TSI Style 6 Airbags AT
86,Honda City i-VTEC VX,1000000,24000,Petrol,Manual,1st Owner,2019,1497,5 Seats,Honda,City i-VTEC VX
87,MG Hector Plus Select Diesel MT 7 STR,1789999,36000,Diesel,Manual,1st Owner,2021,1956,7 Seats,MG,Hector Plus Select Diesel MT 7 STR
88,Jeep Compass 1.4 Limited Plus,1390000,35000,Petrol,Automatic,2nd Owner,2019,1368,5 Seats,Jeep,Compass 1.4 Limited Plus
89,Honda Amaze E Petrol BSIV,610000,64000,Petrol,Manual,1st Owner,2019,1199,5 Seats,Honda,Amaze E Petrol BSIV
90,Maruti Vitara Brezza VDi,775000,72000,Diesel,Manual,1st Owner,2017,1248,5 Seats,Maruti,Vitara Brezza VDi
91,Hyundai Grand i10 Magna,459999,29900,Petrol,Manual,1st Owner,2015,1197,5 Seats,Hyundai,Grand i10 Magna
92,Mahindra XUV700 AX5 Diesel AT,2091000,20000,Diesel,Automatic,1st Owner,2022,2198,5 Seats,Mahindra,XUV700 AX5 Diesel AT
93,Tata Indigo VX BSIV,310000,160000,Diesel,Manual,1st Owner,2013,1396,5 Seats,Tata,Indigo VX BSIV
94,Tata Tiago XZ Plus,565000,16000,Petrol,Manual,1st Owner,2020,1199,5 Seats,Tata,Tiago XZ Plus
95,Honda WR-V i-VTEC VX,900000,17000,Petrol,Manual,1st Owner,2019,1199,5 Seats,Honda,WR-V i-VTEC VX
96,Lexus NX 300h,4200000,111000,Petrol,Automatic,1st Owner,2018,2499,5 Seats,Lexus,NX 300h
97,Mercedes-Benz M-Class ML 250 CDI,2850000,38000,Diesel,Automatic,2nd Owner,2015,2143,5 Seats,Mercedes-Benz,M-Class ML 250 CDI
98,Honda Jazz 1.5 SV i DTEC,550000,32000,Diesel,Manual,1st Owner,2015,1498,5 Seats,Honda,Jazz 1.5 SV i DTEC
99,Volkswagen Polo 1.2 MPI Comfortline,450000,67000,Petrol,Manual,1st Owner,2015,1198,5 Seats,Volkswagen,Polo 1.2 MPI Comfortline
100,Ford Ecosport 1.5 Petrol Titanium AT,675000,50000,Petrol,Automatic,1st Owner,2016,1496,5 Seats,Ford,Ecosport 1.5 Petrol Titanium AT
101,Maruti Swift VDI BSIV,180000,110000,Diesel,Manual,2nd Owner,2010,1248,5 Seats,Maruti,Swift VDI BSIV
102,Hyundai Verna VTVT 1.6 AT EX,775000,51000,Petrol,Automatic,1st Owner,2017,1591,5 Seats,Hyundai,Verna VTVT 1.6 AT EX
103,Hyundai Grand i10 1.2 CRDi Sportz,550000,83000,Diesel,Manual,1st Owner,2017,1186,5 Seats,Hyundai,Grand i10 1.2 CRDi Sportz
104,Audi Q3 35 TDI Quattro Premium,2400000,38000,Diesel,Automatic,1st Owner,2016,1968,5 Seats,Audi,Q3 35 TDI Quattro Premium
105,Hyundai Creta 1.6 SX Automatic Diesel,1325000,58000,Diesel,Automatic,1st Owner,2018,1582,5 Seats,Hyundai,Creta 1.6 SX Automatic Diesel
106,Hyundai Creta 1.6 SX,1100000,36000,Petrol,Manual,1st Owner,2018,1591,5 Seats,Hyundai,Creta 1.6 SX
107,Volkswagen Vento 1.0 TSI Highline AT,1050000,23500,Petrol,Automatic,1st Owner,2020,999,5 Seats,Volkswagen,Vento 1.0 TSI Highline AT
108,Hyundai i20 1.2 Magna Executive,650000,60000,Petrol,Manual,1st Owner,2017,1197,5 Seats,Hyundai,i20 1.2 Magna Executive
109,Skoda Superb LK 1.8 TSI AT,2500000,18000,Petrol,Automatic,1st Owner,2018,1798,5 Seats,Skoda,Superb LK 1.8 TSI AT
110,Honda Amaze V Petrol BSIV,600000,36500,Petrol,Manual,1st Owner,2017,1199,5 Seats,Honda,Amaze V Petrol BSIV
111,Skoda Superb Sportline,3100000,25000,Petrol,Automatic,1st Owner,2021,1984,5 Seats,Skoda,Superb Sportline
112,Kia Seltos HTX IVT,1575000,20500,Petrol,Automatic,1st Owner,2020,1497,5 Seats,Kia,Seltos HTX IVT
113,Honda Amaze S i-Vtech,450000,30000,Petrol,Manual,1st Owner,2015,1198,5 Seats,Honda,Amaze S i-Vtech
114,Hyundai i20 Magna 1.2,590000,59000,Petrol,Manual,1st Owner,2017,1197,5 Seats,Hyundai,i20 Magna 1.2
115,BMW X1 sDrive 20d xLine,1450000,80000,Diesel,Automatic,1st Owner,2014,1995,5 Seats,BMW,X1 sDrive 20d xLine
116,Hyundai Xcent 1.2 CRDi E Plus,380000,50000,Diesel,Manual,2nd Owner,2017,1186,5 Seats,Hyundai,Xcent 1.2 CRDi E Plus
117,Tata Harrier XZAS Plus Kaziranga Edition AT,2100000,32000,Diesel,Automatic,1st Owner,2021,1956,5 Seats,Tata,Harrier XZAS Plus Kaziranga Edition AT
118,Hyundai i10 Era 1.1 iTech SE,261000,120000,Petrol,Manual,2nd Owner,2012,1086,5 Seats,Hyundai,i10 Era 1.1 iTech SE
119,Land Rover Discovery 2.0 R-Dynamic HSE,11000000,33000,Petrol,Automatic,1st Owner,2021,1997,7 Seats,Land,Rover Discovery 2.0 R-Dynamic HSE
120,Mini 3 DOOR Cooper S,4200000,6900,Petrol,Automatic,1st Owner,2019,1998,4 Seats,Mini,3 DOOR Cooper S
121,Tata Harrier XZA Plus Kaziranga Edition AT,2250000,4500,Diesel,Automatic,1st Owner,2022,1956,5 Seats,Tata,Harrier XZA Plus Kaziranga Edition AT
122,Volvo S90 D4 Inscription BSIV,4200000,51000,Diesel,Automatic,1st Owner,2018,1969,5 Seats,Volvo,S90 D4 Inscription BSIV
123,Kia Seltos GTX Plus AT D,1975000,12000,Diesel,Automatic,1st Owner,2022,1493,5 Seats,Kia,Seltos GTX Plus AT D
124,Maruti Vitara Brezza ZDi Plus,950000,37000,Diesel,Manual,1st Owner,2018,1248,5 Seats,Maruti,Vitara Brezza ZDi Plus
125,Hyundai Verna SX Opt Diesel,1451000,35000,Diesel,Manual,1st Owner,2021,1493,5 Seats,Hyundai,Verna SX Opt Diesel
126,Maruti Wagon R VXI Optional,300000,80000,Petrol,Manual,2nd Owner,2016,998,5 Seats,Maruti,Wagon R VXI Optional
127,Hyundai Grand i10 Magna,459999,60000,Petrol,Manual,1st Owner,2016,1197,5 Seats,Hyundai,Grand i10 Magna
128,Honda Amaze VX CVT,915000,10000,Petrol,Automatic,1st Owner,2022,1199,5 Seats,Honda,Amaze VX CVT
129,Maruti Ignis Zeta AMT,550000,59385,Petrol,Automatic,1st Owner,2019,1197,5 Seats,Maruti,Ignis Zeta AMT
130,Jaguar XF 3.0 Litre S Premium Luxury,1700000,51000,Diesel,Automatic,2nd Owner,2012,2993,5 Seats,Jaguar,XF 3.0 Litre S Premium Luxury
131,Mahindra XUV500 AT W6 1.99 mHawk,990000,74000,Diesel,Automatic,1st Owner,2017,1997,7 Seats,Mahindra,XUV500 AT W6 1.99 mHawk
132,Tata Nexon 1.2 Revotron XMA,851000,29000,Petrol,Automatic,1st Owner,2020,1198,5 Seats,Tata,Nexon 1.2 Revotron XMA
133,Jeep Compass Model S 4X4 Diesel AT,2750000,12200,Diesel,Automatic,1st Owner,2021,1956,5 Seats,Jeep,Compass Model S 4X4 Diesel AT
134,Hyundai Grand i10 1.2 Kappa Sportz Option AT,550000,40000,Petrol,Automatic,3rd Owner,2019,1197,5 Seats,Hyundai,Grand i10 1.2 Kappa Sportz Option AT
135,Hyundai Verna CRDi 1.6 SX,951000,58000,Diesel,Manual,1st Owner,2018,1582,5 Seats,Hyundai,Verna CRDi 1.6 SX
136,Toyota Innova Crysta 2.8 ZX AT BSIV,1989999,75000,Diesel,Automatic,2nd Owner,2019,2755,7 Seats,Toyota,Innova Crysta 2.8 ZX AT BSIV
137,Land Rover Discovery Sport TD4 HSE 7S,3550000,72000,Diesel,Automatic,1st Owner,2018,1999,7 Seats,Land,Rover Discovery Sport TD4 HSE 7S
138,Ford Aspire 1.2 Ti-VCT Titanium,550000,23400,Petrol,Manual,1st Owner,2017,1196,5 Seats,Ford,Aspire 1.2 Ti-VCT Titanium
139,Ford Aspire 1.2 Ti-VCT Ambiente,390000,59300,Petrol,Manual,1st Owner,2017,1196,5 Seats,Ford,Aspire 1.2 Ti-VCT Ambiente
140,Hyundai Creta 1.4 CRDi S,890000,72000,Diesel,Manual,1st Owner,2016,1396,5 Seats,Hyundai,Creta 1.4 CRDi S
141,Maruti Swift Dzire LDI,451000,67000,Diesel,Manual,1st Owner,2017,1248,5 Seats,Maruti,Swift Dzire LDI
142,Honda Amaze S CVT i-VTEC,725000,33500,Petrol,Automatic,1st Owner,2018,1199,5 Seats,Honda,Amaze S CVT i-VTEC
143,Hyundai Creta SX Executive,1275000,17000,Petrol,Manual,2nd Owner,2021,1497,5 Seats,Hyundai,Creta SX Executive
144,Volkswagen Ameo 1.5 TDI Highline AT,690000,33000,Diesel,Automatic,1st Owner,2016,1498,5 Seats,Volkswagen,Ameo 1.5 TDI Highline AT
145,Volkswagen Polo GT TSI,675000,49000,Petrol,Automatic,1st Owner,2015,1197,5 Seats,Volkswagen,Polo GT TSI
146,Hyundai Grand i10 AT Asta,565000,26000,Petrol,Automatic,1st Owner,2015,1197,5 Seats,Hyundai,Grand i10 AT Asta
147,Hyundai Venue SX Opt iMT,1000000,14500,Petrol,Manual,1st Owner,2020,998,5 Seats,Hyundai,Venue SX Opt iMT
148,Kia Seltos GTX Plus AT D,1975000,10000,Diesel,Automatic,1st Owner,2022,1493,5 Seats,Kia,Seltos GTX Plus AT D
149,MG Hector Plus Sharp DCT,1700000,15001,Petrol,Automatic,1st Owner,2020,1451,6 Seats,MG,Hector Plus Sharp DCT
150,Skoda Octavia Elegance 1.8 TSI AT,975000,55000,Petrol,Automatic,2nd Owner,2015,1798,5 Seats,Skoda,Octavia Elegance 1.8 TSI AT
151,Toyota Corolla Altis G,650000,38000,Petrol,Manual,1st Owner,2013,1798,5 Seats,Toyota,Corolla Altis G
152,Ford Endeavour 4x4 XLT,400000,110000,Diesel,Manual,2nd Owner,2005,2953,7 Seats,Ford,Endeavour 4x4 XLT
153,Honda Amaze S AT i-Vtech,475000,65413,Petrol,Automatic,1st Owner,2013,1198,5 Seats,Honda,Amaze S AT i-Vtech
154,Honda Jazz Mode,280000,45000,Petrol,Manual,2nd Owner,2009,1198,5 Seats,Honda,Jazz Mode
155,Ford Figo 1.2P Trend MT,430000,44000,Petrol,Manual,1st Owner,2017,1196,5 Seats,Ford,Figo 1.2P Trend MT
156,Hyundai Grand i10 1.2 Kappa Magna BSIV,490000,40000,Petrol,Manual,1st Owner,2017,1197,5 Seats,Hyundai,Grand i10 1.2 Kappa Magna BSIV
157,Ford Ecosport 1.5 Petrol Titanium AT,651000,49000,Petrol,Automatic,1st Owner,2016,1496,5 Seats,Ford,Ecosport 1.5 Petrol Titanium AT
158,Mahindra Thar LX 4-Str Hard Top Diesel AT,1751000,19000,Diesel,Automatic,1st Owner,2022,2184,4 Seats,Mahindra,Thar LX 4-Str Hard Top Diesel AT
159,Hyundai i20 Magna Optional 1.4 CRDi,391000,56000,Diesel,Manual,2nd Owner,2013,1396,5 Seats,Hyundai,i20 Magna Optional 1.4 CRDi
160,Honda City 1.5 V MT,375000,65000,Petrol,Manual,2nd Owner,2010,1497,5 Seats,Honda,City 1.5 V MT
161,Toyota Etios G,490000,27680,Petrol,Manual,1st Owner,2013,1496,5 Seats,Toyota,Etios G
162,Kia Seltos GTX Plus AT D,1825000,27305,Diesel,Automatic,1st Owner,2021,1493,5 Seats,Kia,Seltos GTX Plus AT D
163,BMW 3 Series 320d,3300000,10793,Diesel,Automatic,1st Owner,2019,1995,5 Seats,BMW,3 Series 320d
164,BMW X3 xDrive 20d Luxury Line,5600000,12000,Diesel,Automatic,1st Owner,2020,1995,5 Seats,BMW,X3 xDrive 20d Luxury Line
165,MG Hector Sharp DCT,1499000,44000,Petrol,Automatic,1st Owner,2019,1451,5 Seats,MG,Hector Sharp DCT
166,Kia Seltos HTK G,1199000,63000,Petrol,Manual,1st Owner,2020,1497,5 Seats,Kia,Seltos HTK G
167,Hyundai i20 Sportz Plus Diesel,650000,87000,Diesel,Manual,1st Owner,2019,1396,5 Seats,Hyundai,i20 Sportz Plus Diesel
168,Maruti Alto LXi,190000,61000,Petrol,Manual,1st Owner,2010,796,5 Seats,Maruti,Alto LXi
169,Hyundai i20 Sportz Option 1.4 CRDi,625000,72000,Diesel,Manual,1st Owner,2016,1396,5 Seats,Hyundai,i20 Sportz Option 1.4 CRDi
170,Audi A4 2.0 TDI Multitronic,1651000,70000,Diesel,Automatic,1st Owner,2015,1968,5 Seats,Audi,A4 2.0 TDI Multitronic
171,Nissan Micra Diesel XV,225000,58000,Diesel,Manual,2nd Owner,2012,1461,5 Seats,Nissan,Micra Diesel XV
172,Honda Jazz Active,130000,90000,Petrol,Manual,3rd Owner,2009,1198,5 Seats,Honda,Jazz Active
173,Honda City VX MT,1250000,19000,Petrol,Manual,1st Owner,2022,1497,5 Seats,Honda,City VX MT
174,Toyota Corolla Altis G AT,925000,72159,Petrol,Automatic,1st Owner,2014,1798,5 Seats,Toyota,Corolla Altis G AT
175,Ford Ecosport 1.5 DV5 MT Titanium,590000,78000,Diesel,Manual,1st Owner,2015,1498,5 Seats,Ford,Ecosport 1.5 DV5 MT Titanium
176,Ford Ecosport 1.5 Diesel Titanium BSIV,690000,58000,Diesel,Manual,1st Owner,2018,1498,5 Seats,Ford,Ecosport 1.5 Diesel Titanium BSIV
177,Ford Ecosport 1.5 Diesel Titanium Plus BSIV,890000,72000,Diesel,Manual,1st Owner,2018,1498,5 Seats,Ford,Ecosport 1.5 Diesel Titanium Plus BSIV
178,Land Rover Range Rover Evoque 2.0 TD4 SE,4250000,56000,Diesel,Automatic,1st Owner,2018,1999,5 Seats,Land,Rover Range Rover Evoque 2.0 TD4 SE
179,Nissan Micra Diesel XV,290000,73000,Diesel,Manual,1st Owner,2012,1461,5 Seats,Nissan,Micra Diesel XV
180,Hyundai Creta 1.6 VTVT S,890000,28840,Petrol,Manual,1st Owner,2016,1591,5 Seats,Hyundai,Creta 1.6 VTVT S
181,Maruti Swift Dzire AMT ZXI,690000,51500,Petrol,Automatic,1st Owner,2019,1197,5 Seats,Maruti,Swift Dzire AMT ZXI
182,Maruti S-Presso VXI Plus AT 2019-2022,480000,41370,Petrol,Automatic,1st Owner,2020,998,5 Seats,Maruti,S-Presso VXI Plus AT 2019-2022
183,Hyundai Creta 1.6 VTVT S,875000,41266,Petrol,Manual,1st Owner,2016,1591,5 Seats,Hyundai,Creta 1.6 VTVT S
184,Hyundai Verna VTVT 1.6 AT SX Option,990000,31740,Petrol,Automatic,1st Owner,2018,1591,5 Seats,Hyundai,Verna VTVT 1.6 AT SX Option
185,Maruti Ciaz VXi Plus,615000,77876,Petrol,Manual,1st Owner,2015,1373,5 Seats,Maruti,Ciaz VXi Plus
186,Skoda Kushaq 1.5 TSI Style,2050000,9500,Petrol,Manual,1st Owner,2022,1498,5 Seats,Skoda,Kushaq 1.5 TSI Style
187,Hyundai Grand i10 1.2 Kappa Sportz Option AT,625000,28387,Petrol,Automatic,1st Owner,2019,1197,5 Seats,Hyundai,Grand i10 1.2 Kappa Sportz Option AT
188,Mercedes-Benz M-Class ML 350 CDI,2700000,120000,Diesel,Automatic,2nd Owner,2015,2987,5 Seats,Mercedes-Benz,M-Class ML 350 CDI
189,Hyundai Grand i10 Magna,450000,20000,Petrol,Manual,2nd Owner,2017,1197,5 Seats,Hyundai,Grand i10 Magna
190,Mercedes-Benz C-Class Progressive C 220d,4250000,30686,Diesel,Automatic,1st Owner,2020,1950,5 Seats,Mercedes-Benz,C-Class Progressive C 220d
